Round ,Team,Total Kicks,Handballs,Disposals,Marks,Hit-outs,Frees For,Frees Against,Goals,Behinds,Total Points,AFL Fantasy,Opponent,Win/Loss,
9,GWS Giants,209,139,348,93,20,17,10,9,7,61,1435,Gold Coast Suns,1,
9,Geelong Cats,182,98,280,95,26,12,15,10,4,64,1268,West Coast Eagles,0,
9,Gold Coast Suns,169,100,269,71,27,10,17,4,11,35,1090,GWS Giants,0,
9,Hawthorn,167,120,287,68,42,21,24,14,5,89,1193,Carlton,1,
9,Melbourne,150,145,295,59,44,16,23,4,8,32,1107,Port Adelaide,0,
9,North Melbourne,201,157,358,100,29,17,22,19,5,119,1578,Adelaide Crows,1,
9,Port Adelaide,176,148,324,69,13,23,16,12,11,83,1339,Melbourne,1,
9,Richmond,184,125,309,80,30,25,21,13,12,90,1308,Western Bulldogs,1,
9,St Kilda,192,119,311,70,35,15,17,15,11,101,1415,Sydney Swans,1,
9,Sydney Swans,167,130,297,52,37,17,15,6,12,48,1176,St Kilda,0,
9,West Coast Eagles,166,92,258,57,39,15,12,11,7,73,1127,Geelong Cats,1,
9,Western Bulldogs,141,137,278,49,17,21,25,7,7,49,999,Richmond,0,
10,Adelaide Crows,133,119,252,38,31,25,17,5,7,37,1058,Melbourne,0,
10,Brisbane Lions,211,87,298,119,23,18,11,4,17,41,1348,Richmond,0,
10,Collingwood,182,150,332,70,33,23,11,6,14,50,1376,Sydney Swans,1,
10,Essendon,183,124,307,69,22,19,26,8,7,55,1196,GWS Giants,0,
10,GWS Giants,175,131,306,55,39,26,19,8,11,59,1235,Essendon,1,
10,Geelong Cats,187,136,323,69,28,16,18,13,12,90,1274,North Melbourne,1,
10,Gold Coast Suns,179,135,314,52,27,19,18,11,8,74,1232,St Kilda,0,
10,Melbourne,176,114,290,66,43,17,25,13,10,88,1249,Adelaide Crows,1,
10,North Melbourne,155,126,281,46,24,18,16,9,3,57,1109,Geelong Cats,0,
10,Port Adelaide,172,127,299,67,44,17,14,8,7,55,1349,Western Bulldogs,1,
10,Richmond,183,112,295,80,23,11,18,12,10,82,1228,Brisbane Lions,1,
10,St Kilda,194,119,313,80,28,18,19,12,6,78,1293,Gold Coast Suns,1,
10,Sydney Swans,154,87,241,64,24,11,23,6,5,41,1135,Collingwood,0,
10,Western Bulldogs,156,136,292,44,30,14,17,5,12,42,1159,Port Adelaide,0,
11,Adelaide Crows,158,119,277,72,27,12,20,5,8,38,1150,Collingwood,0,
11,Brisbane Lions,182,108,290,72,42,9,12,14,12,96,1285,Western Bulldogs,1,
11,Carlton,152,100,252,61,33,12,14,7,8,50,1197,West Coast Eagles,0,
11,Collingwood,185,139,324,77,28,20,12,10,2,62,1378,Adelaide Crows,1,
